Sr.NO,shortName,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,currentPrice,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,quoteType,symbol,enterpriseToRevenue,enterpriseToEbitda,forwardEps,sharesOutstanding,bookValue,trailingEps,priceToBook,heldPercentInsiders,enterpriseValue,earningsQuarterlyGrowth,pegRatio,forwardPE,marketCap
40,"Merck & Company, Inc.",Drug Manufacturers—General,0.40027002,0.13681,0.72669,13084000256,0.204,0.33821,21056999424,34572000000,9870499840,81.34,0.548,1.309,0.12133,73.728,0.26036,10042000384,26441000960,52607000576,3.976,USD,20.787,0.869,EQUITY,MRK,4.011,10.02,7.2,2525939968,14.174,2.834,5.738676,0.00072999997,210990940160,0.553,0.87,11.297222,205459947520
42,"United Parcel Service, Inc.",Integrated Freight & Logistics,0.11517999,0.06832,0.19872,12936999936,0.092,0.08434,10874000384,11490000000,3207875072,215.35,0.183,1.476,0.07768,212.383,0.73033994,10560000000,25607000064,94411997184,12.15,USD,108.147,1.381,EQUITY,UPS,2.16,18.753,12.1,729158016,13.856,7.355,15.542004,0.00007,203918901248,0.19,1.07,17.79752,187169734656
43,McDonald's Corporation,Restaurants,0.50558996,0.32490003,0.54172003,9141499904,0.131,0.42515,11741200384,12580200000,5830362624,241.58,0.189,1.778,0.1159,,,4709499904,49353199616,23222900736,6.334,USD,31.117,1.72,EQUITY,MCD,9.105,18.009,10.14,747244992,-7.595,9.7,,0.00054000004,211452067840,0.19,1.32,23.824457,180519452672
44,QUALCOMM Incorporated,Semiconductors,0.35384,0.27714002,0.58164,9418000384,0.3,0.30877,12750999552,19304000000,8092250112,157.97,0.406,1.648,0.17321,138.975,1.06739,11310000128,15749999616,36036001792,10.035,USD,31.933,1.25,EQUITY,QCOM,4.817,13.615,11.64,1120000000,8.844,7.87,17.861828,0.00154,173602701312,0.385,0.68,13.571305,176926408704
45,Union Pacific Corporation,Railroads,0.53068,0.29916,0.58462,9031999488,0.115,0.42942002,11571000320,12747000000,4763749888,273.38,0.299,0.618,0.092939995,222.357,0.41923,1006000000,31488000000,21803999232,1.58,USD,33.35,0.475,EQUITY,UNP,8.469,15.96,11.38,642876032,21.597,9.335,12.658239,0.0023,184668864512,0.24,1.52,24.022848,175749447680
47,Texas Instruments Incorporated,Semiconductors,0.54072,0.42352,0.67466,8755999744,0.185,0.49181998,9918999552,12376000000,4189750016,184.9,0.26,5.327,0.25615,61.547,0.68996,9738999808,8206000128,18343999488,10.545,USD,19.874,4.453,EQUITY,TXN,8.474,15.672,8.23,923526016,13.159,7.788,14.051219,0.0019200001,155451523072,0.267,2.41,22.466587,170759962624
48,AT&T Inc.,Telecom Services,0.30548,0.0066500003,0.52233005,40784998400,-0.057,0.18632,53029998592,91840000000,41733750784,23.84,1.114,0.701,0.03724,115.572,0.01368,21334999040,209535991808,173596999680,2.988,USD,24.238,0.511,EQUITY,T,2.263,7.409,3.21,7141000192,22.937,0.129,1.0393687,0.00093000004,392898609152,1.102,2.17,7.426791,170241441792
49,"Netflix, Inc.",Entertainment,0.23376,0.17639999,0.43218,658211968,0.163,0.22760001,6693351936,9719737000,14542671872,373.85,0.833,1.17,0.10012,117.578,0.39387,7526681088,18006607872,28632967168,16.992,USD,64.657,1.032,EQUITY,NFLX,9.511,40.687,13.09,442952000,34.574,11.091,10.813039,0.01497,272331112448,0.834,1.29,28.559969,165597609984
51,"NextEra Energy, Inc.",Utilities—Regulated Electric,0.42733002,0.14399,0.50493,7587999744,-0.087,0.17243,7016000000,10707000000,-10548374528,83.94,-0.633,0.468,0.0133299995,123.733,0.03873,692000000,55340998656,16417999872,0.353,USD,8.369,0.222,EQUITY,NEE,14.071,32.927,2.74,1962140032,18.678,0.614,4.4940577,0.0015700001,231018496000,-0.636,3.6,30.635036,164702044160
52,Linde plc,Specialty Chemicals,0.32959,0.12425,0.43028998,9724999680,0.141,0.17907,10149000192,13250000000,6089124864,318.74,0.364,0.745,0.04058,31.265,0.08326,2823000064,14206999552,30793000960,5.522,USD,59.573,0.547,EQUITY,LIN,5.309,16.107,10.32,512555008,86.475,6.796,3.6859207,0.00206,163466002432,0.332,,30.885658,163371778048
53,Bristol-Myers Squibb Company,Drug Manufacturers—General,0.44366002,0.15078,0.79871005,16206999552,0.083,0.21174999,20579000320,37048000000,13574250496,73.28,,1.521,0.0539,126.634,0.18985,17220999168,45596000256,46385000448,7.901,USD,20.885,1.36,EQUITY,BMY,3.79,8.542,7.84,2219640064,16.765,-2.42,4.3710113,0.00068999996,175783591936,,1.39,9.346938,162655223808
54,"T-Mobile US, Inc.",Telecom Services,0.32923,0.03774,0.56848997,13916999680,0.022,0.12474,26377000960,45546000000,-246000000,124.29,-0.428,0.889,0.03071,157.473,0.04498,6631000064,108816998400,80117997568,5.308,USD,64.241,0.672,EQUITY,TMUS,3.197,9.711,3.24,1249049984,54.784,2.66,2.268728,0.52609,256136003584,-0.437,1.15,38.36111,155244429312
55,Raytheon Technologies Corporati,Aerospace & Defense,0.17265,0.051960003,0.18392,5288999936,0.099,0.10105,11009000448,9017000000,4755749888,102.43,4.298,1.23,0.02508,44.935,0.05017,7475999744,32789000192,63763001344,4.991,USD,42.422,0.818,EQUITY,RTX,2.538,14.698,4.99,1496780032,47.605,2.2,2.1516647,0.00112,161814953984,4.277,0.94,20.527056,153315180544
56,"Lowe's Companies, Inc.",Home Improvement Retail,0.15587,0.08625,0.33075002,8743000064,0.027,0.13666001,14842000384,29582000000,5926374912,212.92,2,1.193,0.16221,,6.57829,6706999808,30948999168,95221997568,9.955,USD,133.88,0.342,EQUITY,LOW,2.093,13.427,12.9,673747008,-2.297,11.467,,0.00055,199288258560,1.74,1.3,16.505426,143454208000
57,"Advanced Micro Devices, Inc.",Semiconductors,0.24674,0.19240999,0.48248002,3520999936,0.488,0.22198,4055000064,7929000000,3122749952,119.67,-0.454,2.024,0.21327,9.764,0.47428,3608000000,732000000,16433999872,3.008,USD,13.548,1.49,EQUITY,AMD,8.085,32.765,3.34,1207609984,5.888,3.242,20.324389,0.00426,132861157376,-0.453,1.55,35.82934,144514678784
58,Philip Morris International Inc,Tobacco,0.45734,0.29247,0.68141,11096999936,0.091,0.42511,14060999680,19125000000,8760999936,93.45,0.049,0.998,0.2024,,,4490999808,29105000448,30744999936,2.885,USD,19.737,0.485,EQUITY,PM,5.741,12.554,6.43,1556829952,-6.773,5.74,,0.00191,176517775360,0.052,1.44,14.533437,145485758464
60,Medtronic plc.,Medical Devices,0.30181,0.14793,0.67627,7161999872,0.026,0.21662001,9596999680,19762000000,5072875008,108.46,1.694,2.913,0.045879997,49.125,0.09233,10668999680,25622999040,31797999616,7.935,USD,23.628,2.071,EQUITY,MDT,4.958,16.428,6.16,1344560000,38.659,3.468,2.8055563,0.00234,157658562560,1.681,1.63,17.607143,145830969344
61,CVS Health Corporation,Healthcare Plans,0.06276,0.02668,0.17351,17827000320,0.1,0.04679,17824000000,48248000000,14704874496,108.56,0.29,0.94,0.03551,105.414,0.10556,12840999936,78658002944,283980988416,9.721,USD,215.709,0.589,EQUITY,CVS,0.718,11.439,8.27,1320060032,56.251,5.729,1.9299213,0.00159,203894095872,0.306,2.27,13.126964,143305719808
62,S&P Global Inc.,Financial Data & Stock Exchanges,0.56767,0.36446998,0.73544997,3598000128,0.118,0.54622,4710000128,6102000000,2827249920,413.47,0.487,2.309,0.20552999,89.812,0.73425,6508000256,4972000256,8296999936,26.993,USD,34.456,2.138,EQUITY,SPGI,11.443,20.158,14.63,241000000,7.656,11.599,54.00601,0.00169,94945804288,0.487,3.61,28.261791,99646267392
63,ConocoPhillips,Oil & Gas E&P,0.42903998,0.17315,0.49155998,16995999744,1.771,0.27435,20018999296,22936000000,10509124608,107.5,,1.335,0.10439,45.371,0.21471001,6591000064,20600999936,46660001792,5.072,USD,35.237,1.103,EQUITY,COP,2.744,6.395,7.8,1318950016,33.447,3.687,3.2140403,0.00089,128017498112,,-7.27,13.782051,141787119616
64,"PayPal Holdings, Inc.",Credit Services,0.21124001,0.20086001,0.47824,5923999744,0.132,0.17388001,5190000128,10001000000,3478000128,113.76,0.07,1.298,0.038110003,43.902,0.24299999,13292000256,9697999872,24568999936,11.313,USD,20.932,0.337,EQUITY,PYPL,8.994,42.578,5.27,1174930048,18.816,4.159,6.0459185,0.0012899999,220982149120,0.065,2.02,21.586338,133660041216
65,Honeywell International Inc.,Conglomerates,0.25206,0.15802,0.3234,6157000192,0.087,0.21779,8730000384,10468000000,4935000064,197.79,0.682,1.288,0.073860005,122.846,0.30444,12135999488,22261000192,34635001856,17.629,USD,49.784,0.967,EQUITY,HON,4.455,17.673,8.98,688422976,25.917,7.77,7.63167,0.00087,154284408832,0.658,2.27,22.025614,136163172352
66,Amgen Inc.,Drug Manufacturers—General,0.47642,0.21767999,0.75421995,8606000128,0.044,0.34998,12275999744,19265000000,7394749952,238.79,-0.035,1.643,0.08696,457.332,0.585,12920999936,37579001856,25767000064,22.939,USD,44.89,1.192,EQUITY,AMGN,6.068,12.738,17.95,563265984,14.543,9.701,16.419582,0.00214,156366471168,-0.068,2.28,13.303063,134502277120
67,Deere & Company,Farm & Heavy Construction Machinery,0.20566,0.13566,0.27728,7726000128,0.16,0.18414,9040000000,12188000000,1230499968,436.45,0.724,2.192,0.06355,264.864,0.3802,7434999808,48824999936,43955998720,24.186,USD,141.065,1.94,EQUITY,DE,3.673,17.86,25.12,307407008,59.828,18.99,7.2950797,0.00139,161453981696,0.693,1.34,17.374601,134167789568
68,Intuit Inc.,Software—Application,0.28012,0.20277001,0.82689005,3350000128,0.517,0.24396999,2889999872,8000000000,2693625088,459.35,0.093,2.099,0.12802,25.758,0.27934,3249999872,2507000064,10316999680,11.477,USD,37.861,1.764,EQUITY,INTU,16.899,60.327,13.64,283167008,35.623,7.581,12.894759,0.02809,174345699328,0.152,3.04,33.676685,130072764416
69,"Applied Materials, Inc.",Semiconductor Equipment & Materials,0.33174,0.25530002,0.47374,5441999872,0.306,0.31465998,7650999808,10926000000,3319124992,137.06,0.533,2.539,0.18829,46.975,0.51593,5458999808,5752999936,23062999040,6.144,USD,25.344,1.673,EQUITY,AMAT,5.936,17.892,8.85,888513024,13.73,6.4,9.98252,0.00241,136894029824,0.514,1.17,15.487004,121779593216
70,"Anthem, Inc.",Healthcare Plans,0.06538,0.041220002,0.25909,10504999936,0.15,0.05925,8753000448,33823000000,7365374976,480.76,6.046,1.476,0.05371,66.276,0.15835,33956999168,23732000768,133883002880,139.905,USD,546.238,1.327,EQUITY,ANTM,0.755,11.545,28.65,242715008,147.158,22.228,3.2669647,0.0020299999,101050580992,5.797,1.31,16.780455,116687667200
71,Lockheed Martin Corporation,Aerospace & Defense,0.13439,0.094189994,0.13569,9221000192,0.041,0.11665,9009999872,9097000000,4841500160,453.66,0.171,1.416,0.09624,119.555,0.74307,3604000000,13102000128,67043999744,13.234,USD,242.562,1.154,EQUITY,LMT,2.035,15.144,26.28,275785984,35.15,21.709,12.906401,0.00081,136443199488,0.143,3.22,17.262556,125113073664
72,"Caterpillar, Inc.",Farm & Heavy Construction Machinery,0.18108,0.12731,0.29434,7198000128,0.228,0.13494,9230000128,15003000000,5983750144,223.36,1.764,1.456,0.05336,228.802,0.40715998,9253999616,37788999680,50971000832,17.178,USD,93.697,0.892,EQUITY,CAT,2.713,14.98,10.9,540942016,30.807,9.348,7.2503004,0.00196,138267869184,1.718,0.65,20.491743,120824807424
73,International Business Machines,Information Technology Services,0.21030001,0.06401,0.48443002,16112000000,0.003,0.119849995,15658999808,35575000000,12530875392,131.35,-0.338,0.836,0.03739,263.801,0.21405001,8055000064,58978000896,74461003776,8.982,USD,83.234,0.65,EQUITY,IBM,2.348,11.165,10.3,896320000,24.786,5.283,5.299363,0.00133,174828388352,-0.335,2.07,12.752427,117731639296
74,"ServiceNow, Inc.",Software—Application,0.122770004,0.03986,0.7726,2032599040,0.312,0.04336,679244032,3532371000,2109631104,561.87,4.167,1.131,0.01745,63.016,0.071040004,3031000064,2227000064,5532484096,15.232,USD,28.162,1.004,EQUITY,NOW,21.577,175.75,7.22,199000000,17.759,1.091,31.638603,0.0038400001,119377043456,3.846,3.88,77.821335,111812132864
75,"Prologis, Inc.",REIT—Industrial,0.68964,0.40218,0.75181,2883645952,0.102,0.36385,3383100928,3566001000,4072106752,157.33,1.415,0.848,0.01978,47.759,0.05886,585070976,17554874368,4905615872,0.791,USD,6.637,0.403,EQUITY,PLD,28.603,41.476,2.31,739326976,43.881,2.644,3.5853786,0.00504,140316753920,1.39,-11.62,68.10823,116318314496
77,"BlackRock, Inc.",Asset Management,0.41139,0.30972,0.50816,5006000128,0.156,0.38963002,7712000000,8266000000,5881375232,741.04,0.228,1.427,0.02727,21.949,0.16974,7157000192,8421000192,18745999360,47.111,USD,122.998,0.625,EQUITY,BLK,7.583,18.433,42.25,151916992,242.236,37.607,3.0591655,0.01071,142154465280,0.232,1.8,17.539408,112576561152
79,Boeing Company (The),Aerospace & Defense,0.02631,-0.06746,0.08625,-3416000000,-0.033,-0.00811,1639000064,5372000000,-622875008,188.95,,1.325,-0.00217,,,16243999744,59640999936,62286000128,27.863,USD,105.929,0.337,EQUITY,BA,2.683,101.952,4.76,587699008,-24.58,-14.511,,0.00095,167099318272,,-5.13,39.695377,111045722112
80,American Tower Corporation (REI,REIT—Specialty,0.63285,0.27445,0.72116,5273299968,0.219,0.39266,5717300224,5814300000,5150612480,240.69,0.519,0.773,0.04348,434.983,0.34478,3277199872,42142900224,9034200064,7.196,USD,20.135,0.668,EQUITY,AMT,19.03,30.07,5.46,455414016,11.882,5.507,20.256691,0.00306,171920228352,0.557,2.96,44.082417,109613596672
81,"Charter Communications, Inc.",Entertainment,0.39200002,0.08396,0.44784,16161999872,0.092,0.20658001,20028999680,21198000000,6336875008,558.26,0.667,0.286,0.04602,417.43,0.17694001,466000000,89856000000,51093999616,2.599,USD,270.338,0.254,EQUITY,CHTR,4.03,10.281,31.27,179291008,94.985,21.943,5.877349,0.3186,205917814784,0.495,0.77,17.852894,100091002880
82,General Electric Company,Specialty Industrial Machinery,0.09193,-0.00052,0.18652001,4557000192,-0.005,0.022550002,7228000256,13514000000,7676375040,94.02,,1.796,0.00451,169.123,0.048779998,20795000832,65891999744,78621999104,18.937,USD,71.711,0.855,EQUITY,GE,1.98,21.542,3.97,1098140032,34.122,-0.419,2.7554069,0.00242,155708882944,,6.96,23.68262,103247118336
83,"Intuitive Surgical, Inc.",Medical Instruments & Supplies,0.37273997,0.29852,0.69324994,2089400064,0.167,0.31891,2128400000,3958500000,1597325056,286.87,0.024,5.083,0.09207,0.728,0.15919,4230899968,87000000,5710099968,11.827,USD,16.035,4.456,EQUITY,ISRG,17.62,47.272,5.57,357236992,31.945,4.638,8.980122,0.0101,100614602752,0.042,4.15,51.50269,102480576512
84,Target Corporation,Discount Stores,0.10804,0.06562,0.29459,9077999616,0.133,0.08299,11166000128,27384000000,5191249920,218.61,0.512,0.967,0.10204001,112.287,0.50011003,5765000192,15498999808,103348002816,12.032,USD,209.08,0.247,EQUITY,TGT,0.982,9.091,13.38,479124000,28.702,13.587,7.6165423,0.0018099999,101510184960,0.467,1.19,16.338566,104741298176
85,Starbucks Corporation,Restaurants,0.21246,0.14468999,0.2874,6024300032,0.193,0.16233,6450699776,8435400000,4055624960,87.45,0.303,0.813,0.104770005,,,4056800000,23747500032,30361600000,3.527,USD,25.812,0.584,EQUITY,SBUX,4.06,19.108,,,,,,0.00174,123259109376,0.311,,,
86,"Estee Lauder Companies, Inc. (T",Household & Personal Products,0.23202999,0.17829001,0.76198,3192000000,0.233,0.19226,3955000064,12391000000,2091874944,274.89,0.324,1.783,0.10375,114.934,0.53243,4004000000,7996000256,17045000192,11.124,USD,46.966,1.179,EQUITY,EL,8.138,35.074,8.53,231704992,16.861,8.248,16.303305,0.00737,138718035968,0.323,3.39,32.22626,98945835008
87,Stryker Corporation,Medical Devices,0.278,0.113979995,0.65672994,3500000000,0.113,0.21951,4633999872,9158000000,3139749888,266,-0.301,2.126,0.06885,92.093,0.13989,2639000064,13057000448,16668999680,6.996,USD,44.259,1.226,EQUITY,SYK,6.911,24.861,10.17,377240000,37.584,4.968,7.07748,0.07317,115203940352,-0.295,2.29,26.15536,100345839616
88,"Altria Group, Inc.",Tobacco,0.5759,0.13164,0.65674,8282999808,-0.026,0.56380004,12140000256,13488000000,6223374848,53.62,,0.742,0.17232001,,2.7119799,2956999936,28127000576,21080000512,1.61,USD,11.387,0.369,EQUITY,MO,5.593,9.712,4.83,1836989952,-0.689,1.494,,0.001,117905457152,,2.06,11.101449,98499395584
89,Booking Holdings Inc. Common St,Travel Services,0.22017999,0.04145,0.74974996,1964000000,0.771,0.17276,2028999936,4852000000,2417874944,2247.93,-0.046,2.483,0.04375,208.007,0.07305,12165000192,11534000128,9214999552,296.249,USD,224.697,2.374,EQUITY,BKNG,10.916,49.575,100.38,41059800,135.035,9.25,16.647017,0.0023999999,100587618304,-0.04,0.27,22.394201,92299550720
90,"Automatic Data Processing, Inc.",Staffing & Employment Services,0.26082,0.1748,0.4493,3120600064,0.089,0.22843,4094000128,6768100000,3923987456,219.04,0.093,1.041,0.04133,68.328,0.50117,1764700032,3450299904,15696600064,4.201,USD,37.143,0.092,EQUITY,ADP,5.671,21.742,7.47,421384000,12.679,6.32,17.27581,0.00102,89013010432,0.072,2.58,29.322624,92299952128
91,Chubb Limited,Insurance—Property & Casualty,0.20179,0.21836,0.28234,11093000192,0.14,0.19464001,8146999808,7110000000,12054750208,217.78,0.589,0.342,0.025390001,32.666,0.15235,5149000192,19377000448,40372998144,11.954,USD,90.617,0.152,EQUITY,CB,2.567,12.719,14.45,430740992,137.668,19.67,1.5819217,0.00472,103619739648,0.535,0.52,15.0712805,93806772224
92,Zoetis Inc.,Drug Manufacturers—Specialty & Generic,0.41242,0.26196,0.70486,2212999936,0.089,0.36150002,3207000064,5481000000,1407874944,189.43,0.159,3.856,0.12773,149.472,0.48911998,3496999936,6792000000,7776000000,7.409,USD,16.393,2.577,EQUITY,ZTS,12.371,29.996,5.19,473126016,9.884,4.149,19.165318,0.00236,96198688768,0.153,3.84,36.499035,89624256512
93,CME Group Inc.,Financial Data & Stock Exchanges,0.64274,0.52596,1,2394400000,0.028,0.55389,2975899904,4870300000,1755924992,247.72,1.243,1.008,0.01026,14.81,0.08975001,1569699968,4040499968,4630000128,4.368,USD,12.926,0.014,EQUITY,CME,18.054,28.089,7.33,359396000,76.084,6.78,3.255875,0.0044,83590815744,1.25,6.61,33.79536,89030320128
94,"Micron Technology, Inc.",Semiconductors,0.50606,0.24861999,0.41531,14439000064,0.332,0.29005,14988999680,10472000000,1410875008,78.1,1.873,3.101,0.093430005,16.561,0.17163,9580000256,7602999808,29618999296,8.555,USD,26.422,2.277,EQUITY,MU,2.795,5.523,11.51,1120169984,41.026,6.461,1.9036708,0.00193,82790129664,1.872,0.45,6.7854037,87485276160
95,"Analog Devices, Inc.",Semiconductors,0.38916,0.18999,0.61831003,2735068928,0.533,0.24232,2848005888,4525012000,1119481856,165.63,-0.855,1.941,0.03004,18.736,0.055630002,1977964032,7118233088,7318285824,3.765,USD,18.413,1.241,EQUITY,ADI,12.89,33.122,8.51,525331008,72.321,3.46,2.2902062,0.0021,94330912768,-0.804,1.57,19.462984,87010574336
96,"Mondelez International, Inc.",Confectioners,0.21834,0.15702,0.3982,4368999936,0.078,0.17813998,6192000000,10446000000,3557750016,61.52,0.141,0.733,0.047280002,73.834,0.16312,3400999936,20491999232,28359999488,2.438,USD,20.092,0.472,EQUITY,MDLZ,3.873,17.739,3.1,1394969984,19.857,3.141,3.0981517,0.00121,109842898944,0.124,2.62,19.845161,85818556416
97,3M Company,Conglomerates,0.28613,0.16764,0.48024,7964000256,0.071,0.23218,10108000256,15685000000,5780874752,150.46,0,1.705,0.10945,130.812,0.44799998,5734000128,19007000576,35326001152,9.95,USD,60.915,1.105,EQUITY,MMM,3.318,11.595,10.37,576252992,25.093,10.111,5.9960947,0.00119,117201043456,0.003,2.37,14.509162,86703030272
99,Duke Energy Corporation (Holdin,Utilities—Regulated Electric,0.47160998,0.12795,0.50060004,9317000192,0.034,0.24066,11422999552,11596000000,-2255249920,109.13,0.031,0.607,0.02219,128.981,0.05598,552000000,66090000384,24220999680,0.717,USD,31.765,0.256,EQUITY,DUK,6.151,13.043,5.47,769342976,61.567,3.91,1.7725405,0.00106,148990803968,0.077,7.89,19.95064,83958398976
100,"Marsh & McLennan Companies, Inc",Insurance Brokers,0.27745,0.15858,0.43945998,3516000000,0.163,0.23976,5498999808,8710000000,3870500096,166.11,1.145,1.242,0.08808,117.287,0.30993,1752000000,13162000384,19819999232,3.485,USD,39.093,1.146,EQUITY,MMC,4.437,15.993,6.73,504895008,19.257,5.29,8.625955,0.00122,87947853824,1.147,2.11,24.68202,83868106752
102,CSX Corporation,Railroads,0.54723,0.3026,0.54723,4953999872,0.243,0.42918998,6522999808,5795000000,2324624896,36.92,0.344,1.718,0.080369994,128.113,0.27854002,2179000064,16874999808,11920000000,0.982,USD,5.254,1.545,EQUITY,CSX,8.2,14.985,1.78,2217979904,5.935,1.589,6.220724,0.00125,97746296832,0.315,1.38,20.741571,81887813632
103,"HCA Healthcare, Inc.",Medical Care Facilities,0.21505,0.11328,0.3859,2932999936,0.148,0.16699,12469000192,19230000000,-2138125056,260.08,2.59,1.377,0.12033,1866.301,4.74392,1139000064,34059999232,57981001728,3.662,USD,175.292,0.995,EQUITY,HCA,2.007,9.334,18.7,311023008,-2.217,19.533,,0.22935,116390903808,2.397,0.93,13.90802,80890863616
105,Lam Research Corporation,Semiconductor Equipment & Materials,0.33055001,0.27072,0.46186,3403175936,0.355,0.31061,5207305216,6805306000,1959992704,554.82,0.479,3.269,0.19974001,85.83,0.7589,4611622912,4995332096,15753535488,32.753,USD,110.375,2.349,EQUITY,LRCX,6.388,19.325,36.65,140799008,41.332,29.588,13.423497,0.00209,100632379392,0.433,1.28,15.138335,78118109184
106,Cigna Corporation,Healthcare Plans,0.0596,0.049200002,0.13713,7209999872,0.082,0.04848,10154999808,24356000000,9887625216,243.58,0.27,0.7,0.03285,73.536,0.17627001,4816999936,34916999168,170397007872,14.534,USD,493.034,0.58,EQUITY,CI,0.624,10.478,22.46,331428000,143.075,24.027,1.7024637,0.01501,106403020800,0.168,1.04,10.845058,80729235456
107,Intercontinental Exchange Inc.,Financial Data & Stock Exchanges,0.60728,0.43815,1,3196000000,0.277,0.48889,4236999936,6036000000,2654249984,135.26,0.577,1.006,0.0153,66.88,0.1503,1319000064,14499000320,6976999936,2.341,USD,12.404,0.024,EQUITY,ICE,12.733,20.967,5.55,563404032,38.361,5.421,3.5259767,0.0133299995,88835620864,0.623,2.3,24.37117,76206022656
108,Crown Castle International Corp,REIT—Specialty,0.56987,0.17287001,0.68565005,2727000064,0.108,0.31909,3612999936,4347000000,1362749952,177.58,-0.299,0.619,0.0325,327.065,0.13071,292000000,27008999424,6339999744,0.676,USD,14.676,0.458,EQUITY,CCI,16.202,28.43,3.31,432203008,19.704,2.871,9.012383,0.00489,102717612032,-0.305,4.34,53.649548,76750610432
109,"Becton, Dickinson and Company",Medical Instruments & Supplies,0.27864,0.103319995,0.47294,4647000064,0.073,0.16639,5641999872,9576000000,3650500096,265.67,1.406,1.334,0.03904,76.361,0.088190004,2295000064,18080000000,20248000512,8.08,USD,69.993,0.723,EQUITY,BDX,4.479,16.073,13.68,285043008,83.223,6.85,3.1922667,0.00773,90681180160,1.07,2.23,19.420322,75727380480
110,"Freeport-McMoRan, Inc.",Copper,0.45992002,0.18849,0.47332,7714999808,0.371,0.36301,10506999808,10813000000,6041874944,51.93,0.538,2.517,0.11497,42.439,0.25739,8182000128,9768999936,22844999680,5.624,USD,15.583,1.684,EQUITY,FCX,3.455,7.512,3.55,1468470016,9.096,2.641,5.709103,0.00696,78927970304,0.562,0.48,14.628169,76257648640
111,"Gilead Sciences, Inc.",Drug Manufacturers—General,0.54316,0.26905,0.83022004,10094999552,0.128,0.47249,14926999552,20998000000,8185874944,58.91,6.147,1.366,0.12683,128.946,0.37846002,6608999936,27686000640,27481999360,5.269,USD,21.876,1.091,EQUITY,GILD,4.063,7.48,6.8,1254380032,17.108,5.844,3.4434183,0.00095,111657033728,6.2,6.77,8.663235,73895526400
112,Southern Company (The),Utilities—Regulated Electric,0.34855,0.10353,0.4353,6168999936,0.127,0.17665,8056000000,10061000000,-2179624960,70.93,,0.821,0.020380002,170.415,0.07048,1798000000,55499001856,23113000960,1.696,USD,21.784,0.436,EQUITY,SO,5.626,16.143,3.54,1059800000,27.07,2.801,2.6202438,0.00214,130044108800,,3.18,20.036724,75171610624
113,"Moderna, Inc.",Biotechnology,0.65691,0.5968,0.68091005,11573970944,30.65,0.64328,7772106752,-574877000,8944045056,165.92,,1.348,0.372,5.758,1.09609,8906000384,583000000,11831395328,21.966,USD,29.517,1.216,EQUITY,MRNA,7.283,11.087,26.47,405449984,24.998,16.692,6.637331,0.09491,86171066368,,0.54,6.268228,67272261632
114,"Regeneron Pharmaceuticals, Inc.",Biotechnology,0.57449,0.50245,0.66739,7081299968,1.044,0.55667996,9233000448,10726100000,4279237376,680.03,0.923,3.564,0.26253,14.384,0.54207003,5694700032,2699699968,16071700480,53.502,USD,152.05,2.983,EQUITY,REGN,3.922,6.828,47.81,105720000,163.522,62.526,4.1586456,0.02961,63040995328,0.94,0.67,14.223594,73132466176
115,"TJX Companies, Inc. (The)",Apparel Retail,0.10312,0.05846,0.35151002,2232061952,0.239,0.08428001,4706388992,10508514000,1070632512,61.29,0.183,1.287,0.07801,198.942,0.44426,6791596032,12821368832,45638823936,5.693,USD,37.918,0.661,EQUITY,TJX,2.137,20.727,3.35,1192880000,5.396,2.167,11.358414,0.00067000004,97547403264,0.18,0.19,18.295523,73111617536
116,Norfolk Southern Corporation,Railroads,0.51284003,0.26843,0.51284003,4183000064,0.138,0.40514,5570999808,4632000000,2002000000,283.36,0.378,1.129,0.07165,103.449,0.2023,1464999936,14366000128,10862999552,6.02,USD,43.501,1,EQUITY,NSC,7.833,15.273,13.74,243344992,57.067,11.619,4.965391,0.00114,85086715904,0.323,1.39,20.622997,68954234880
117,Northrop Grumman Corporation,Aerospace & Defense,0.24488,0.19639999,0.20377001,3567000064,-0.154,0.21014,8734000128,7268000000,6460874752,458.18,7.695,1.304,0.10762999,113.392,0.59604,3529999872,14657000448,35667001344,22.613,USD,222.502,1.161,EQUITY,NOC,2.404,9.816,25.08,157338000,71.913,28.35,6.3713093,0.0023700001,85735915520,7.212,2.48,18.26874,72089124864
118,"EOG Resources, Inc.",Oil & Gas E&P,0.47464,0.18018,0.63764,6745782784,1.265,0.24087,7945999872,4978891000,2962390016,124.51,,2.109,0.06977,24.659,0.14394,4292999936,5367000064,16741193728,7.337,USD,28.879,1.85,EQUITY,EOG,3.397,7.156,9.88,585089984,37.206,5.187,3.3465033,0.0037,56862330880,,0.15,12.602227,72849555456
119,Aon plc,Insurance Brokers,0.19108999,0.075840004,0.43741,2011000064,0.133,0.16344,2308000000,5174000000,1761374976,322.94,,1.07,0.03906,412.571,0.32708,757000000,9484999680,12078000128,3.436,USD,53.166,0.226,EQUITY,AON,6.08,31.815,13.08,220332000,9.977,4.013,32.368446,0.009980001,73428271104,,1.78,24.689602,71154016256
